function_name,return_type,arg_types,arg_count,dll_name
__report_gsfailure,void,uintptr_t,1,msvcr120_clr0400.dll
__C_specific_handler,EXCEPTION_DISPOSITION,struct _EXCEPTION_RECORD *;void *;struct _CONTEXT *;struct _DISPATCHER_CONTEXT *,4,msvcr120_clr0400.dll
_invalid_parameter_noinfo,void,,0,msvcr120_clr0400.dll
_invalid_parameter_noinfo_noreturn,void,,0,msvcr120_clr0400.dll
_invoke_watson,void,const wchar_t *;const wchar_t *;const wchar_t *;unsigned int;uintptr_t,5,msvcr120_clr0400.dll
__pctype_func,const unsigned short *,,0,msvcr120_clr0400.dll
__pwctype_func,const wctype_t *,,0,msvcr120_clr0400.dll
iswalnum,int,wint_t,1,msvcr120_clr0400.dll
iswalpha,int,wint_t,1,msvcr120_clr0400.dll
iswascii,int,wint_t,1,msvcr120_clr0400.dll
iswblank,int,wint_t,1,msvcr120_clr0400.dll
iswcntrl,int,wint_t,1,msvcr120_clr0400.dll
iswdigit,int,wint_t,1,msvcr120_clr0400.dll
iswgraph,int,wint_t,1,msvcr120_clr0400.dll
iswlower,int,wint_t,1,msvcr120_clr0400.dll
iswprint,int,wint_t,1,msvcr120_clr0400.dll
iswpunct,int,wint_t,1,msvcr120_clr0400.dll
iswspace,int,wint_t,1,msvcr120_clr0400.dll
iswupper,int,wint_t,1,msvcr120_clr0400.dll
iswxdigit,int,wint_t,1,msvcr120_clr0400.dll
__iswcsymf,int,wint_t,1,msvcr120_clr0400.dll
__iswcsym,int,wint_t,1,msvcr120_clr0400.dll
_iswalnum_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswalpha_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswblank_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswcntrl_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswdigit_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswgraph_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswlower_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswprint_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswpunct_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswspace_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
_iswupper_l,int,wint_t;_locale_t,2,msvcr120_clr0400.dll
